property_id,pred_square_m,is_valid_json,ground_truth,score,latency,re
1,30000.0,True,30000.0,1.0,11.283983292001722,0.0
2,750000.0,True,750000.0,1.0,3.9302942080012144,0.0
3,70000.0,True,70000.0,1.0,3.9029441670008964,0.0
4,60750.0,True,60702.85,1.0,3.91438695800025,0.001
5,200000.0,True,200000.0,1.0,3.939181458999883,0.0
6,100000.0,True,100000.0,1.0,4.075037624999823,0.0
7,52900.0,True,52609.13,1.0,3.768837292000171,0.006
8,6493.17,True,6503.21,1.0,3.6128816670006927,0.002
9,4165.87,True,4180.63,1.0,3.6186762920006004,0.004
10,25000.0,True,25000.0,1.0,3.795944666999276,0.0
11,18580.6,True,18580.6,1.0,3.7745483329999843,0.0
12,12145.0,True,,0.0,3.938490124999589,
13,5586.29,True,5574.18,1.0,3.904710332999457,0.002
14,46450.0,True,46451.5,1.0,3.9325520000002143,0.0
15,3267.48,True,3251.6,1.0,3.9237318329996924,0.005
16,4645.0,True,4645.15,1.0,3.7668137500004377,0.0
17,1000000.0,True,1000000.0,1.0,4.365796624999348,0.0
18,27872.94,True,27870.9,1.0,3.9323771669987764,0.0
19,12000.0,True,12000.0,1.0,4.061321832999965,0.0
20,250.0,True,,0.0,3.7433564580005623,
21,100.0,True,,0.0,3.762911542000438,
22,7500.0,True,7500.0,1.0,3.777980708000541,0.0
23,50000.0,True,50000.0,1.0,4.204648375000033,0.0
24,30000.0,True,30000.0,1.0,4.366153584000131,0.0
25,40000.0,True,40000.0,1.0,4.06509804199959,0.0
26,25000.0,True,25000.0,1.0,3.930578625000635,0.0
27,1000000.0,True,1000000.0,1.0,4.376126957999077,0.0
28,18147.0,True,18210.87,1.0,4.060641707999821,0.004
29,20000.0,True,20000.0,1.0,3.9311010410001472,0.0
30,12095000.0,True,12140589.05,1.0,4.528350874999887,0.004
31,14095.0,True,14163.65,1.0,3.9318105410002318,0.005
32,3678.45,True,3716.12,1.0,3.7832819579998613,0.01
33,9290.3,True,9290.3,1.0,3.6143566249993455,0.0
34,9290.3,True,9290.3,1.0,3.7520322500004113,0.0
35,140000.0,True,141639.97,1.0,4.079923041001166,0.012
36,5517.04,True,5574.18,1.0,3.7699754999994184,0.01
37,6967.5,True,6967.73,1.0,3.7710275409990572,0.0
38,2787.06,True,2787.09,1.0,3.908280833999015,0.0
39,18000.0,True,18000.0,1.0,3.9258400420003454,0.0
40,27870.9,True,27870.9,1.0,4.058685500000138,0.0
41,32000.0,True,32374.85,1.0,3.9275742919999175,0.012
42,8093.0,True,8093.72,1.0,3.930142540999441,0.0
43,1858.06,True,1858.06,1.0,3.9198321249987202,0.0
44,8000.0,True,8000.0,1.0,4.051096999999572,0.0
45,1149.67,True,1147.48,1.0,4.053366500000266,0.002
46,232.26,True,232.26,1.0,4.17913820800095,0.0
47,1500.0,True,1500.0,1.0,4.046729375000723,0.0
48,2500.0,True,2500.0,1.0,4.203845375001038,0.0
49,7500.0,True,7500.0,1.0,4.175436666000678,0.0
50,464.73,True,464.52,1.0,4.0317557500002295,0.0
51,5000.0,True,5000.0,1.0,3.9074682500013296,0.0
52,8000.0,True,8000.0,1.0,3.767088665999836,0.0
53,12000.0,True,12000.0,1.0,4.228598334000708,0.0
54,15000.0,True,15000.0,1.0,4.072879792000094,0.0
55,10000.0,True,10000.0,1.0,3.930613374999666,0.0
56,10000.0,True,10000.0,1.0,4.0704571250007575,0.0
57,20000.0,True,20000.0,1.0,3.936060208001436,0.0
58,20000.0,True,20000.0,1.0,3.9388811669996358,0.0
59,30000.0,True,30000.0,1.0,4.067777207999825,0.0
60,1672.8,True,1672.25,1.0,4.068534707999788,0.0
61,4842.0,True,,0.0,4.323237458998847,
62,1859.04,True,3035.14,0.0,3.77504691699869,0.387
63,34000.0,True,300000.0,0.0,3.9393762910003716,0.887
64,150.0,True,,0.0,3.753577666999263,
65,121400.0,True,121405.7,1.0,4.086138665999897,0.0
66,30000.0,True,100000.0,0.0,3.939476542000193,0.7
67,2300.58,True,2322.58,1.0,3.7771506249991944,0.009
68,11147.94,True,11148.36,1.0,3.9426567909995356,0.0
69,13635.47,True,13935.45,1.0,3.926891582999815,0.022
70,,True,,,2.836776500000269,
71,8396.27,True,8361.27,1.0,3.9194712919997983,0.004
72,101250.0,True,101171.41,1.0,4.105163665999498,0.001
73,10100.0,True,10117.14,1.0,3.9357323750009527,0.002
74,80000.0,True,80000.0,1.0,4.075236082999254,0.0
75,161858.0,True,161874.26,1.0,4.2105137090002245,0.0
76,17000.0,True,150000.0,0.0,3.962374250000721,0.887
77,7098.0,True,7082.38,1.0,3.7908664170008706,0.002
78,4000.0,True,4000.0,1.0,3.9303414589994645,0.0
79,50000.0,True,50000.0,1.0,4.360153749999881,0.0
80,7500.0,True,7500.0,1.0,4.202988334000111,0.0
81,7462.96,True,7432.24,1.0,3.7847205830003077,0.004
82,3697.14,True,3716.12,1.0,3.776195166999969,0.005
83,210.0,True,1500000.0,0.0,3.760795167001561,1.0
84,23225.7,True,23225.75,1.0,3.9078292089998286,0.0
85,30000.0,True,30000.0,1.0,4.066951749999134,0.0
86,,True,14163.95,,2.8505628750008327,
87,370000.0,True,370000.0,1.0,4.216614667000613,0.0
88,15000.0,True,15000.0,1.0,3.9345206250000047,0.0
89,121000.0,True,323748.51,0.0,4.082251374999032,0.626
90,18000.0,True,80000.0,0.0,3.925966000000699,0.775
91,161930.0,True,161874.26,1.0,4.090251624998928,0.0
92,13000.0,True,100000.0,0.0,4.059417707998364,0.87
93,500000.0,True,500000.0,1.0,4.213932000000568,0.0
94,20232.0,True,20234.28,1.0,3.939451291000296,0.0
95,9290.3,True,9290.3,1.0,3.6281707910002297,0.0
96,13000.0,True,100000.0,0.0,3.938624291000451,0.87
97,5046500.0,True,505857.98,0.0,4.233520457999475,8.976
98,13000.0,True,100000.0,0.0,4.064587625000058,0.87
99,100500.0,True,202342.82,0.0,4.093007208000927,0.503
100,5000.0,True,5000.0,1.0,4.063908417001585,0.0
101,3000.0,True,3000.0,1.0,3.9353243750010733,0.0
102,20000.0,True,20000.0,1.0,4.356505457999447,0.0
103,40000.0,True,40000.0,1.0,4.2294025419996615,0.0
104,929.03,True,929.03,1.0,4.0699799159992835,0.0
105,8765.0,True,8765.0,1.0,4.478422374999354,0.0
106,2787.3,True,2787.09,1.0,4.057113083999866,0.0
107,6000.0,True,6000.0,1.0,3.9257808749989636,0.0
108,6000.0,True,6000.0,1.0,4.063494750000245,0.0
109,3716.0,True,3716.12,1.0,4.060939500001041,0.0
110,6000.0,True,6000.0,1.0,3.9286953749997338,0.0
111,15000.0,True,15000.0,1.0,4.088622167000722,0.0
112,20000.0,True,20000.0,1.0,4.079074083001615,0.0
113,929.03,True,929.03,1.0,3.908846625001388,0.0
114,,True,,,3.4225734999999986,
115,2023.0,True,202.34,0.0,3.9239398329991673,8.998
116,70000.0,True,70000.0,1.0,4.248899959000482,0.0
117,12000.0,True,12000.0,1.0,4.7831576250009675,0.0
